node,destination,Lat1,Long1,Lat2,Long2,value
8,22,38.3180,38.2957,38.3522,38.3167,4.2209885973528225
8,23,38.3180,38.2957,38.3525,38.3160,4.225118679227841
9,0,38.3175,38.3101,38.2972,38.2961,2.566600282830462
9,1,38.3175,38.3101,38.2986,38.2970,2.392314203552468
9,2,38.3175,38.3101,38.3009,38.2971,2.166496524986615
9,3,38.3175,38.3101,38.3031,38.2959,2.0245737419458743
9,4,38.3175,38.3101,38.3048,38.2944,1.9673992373882154
9,5,38.3175,38.3101,38.3087,38.2939,1.7190758870141043
9,6,38.3175,38.3101,38.3141,38.2953,1.3454249413896362
9,7,38.3175,38.3101,38.3095,38.2940,1.662659362641725
9,8,38.3175,38.3101,38.3180,38.2957,1.2575132560919944
9,9,38.3175,38.3101,38.3175,38.3101,0.0
9,10,38.3175,38.3101,38.3225,38.2948,1.445922770149374
9,11,38.3175,38.3101,38.3243,38.2939,1.6028176869911537
9,12,38.3175,38.3101,38.3290,38.2945,1.8673922124550757
9,13,38.3175,38.3101,38.3316,38.2973,1.9248202065926925
9,14,38.3175,38.3101,38.3331,38.2994,1.9698239797678847
9,15,38.3175,38.3101,38.3354,38.3031,2.0819502871829743
9,16,38.3175,38.3101,38.3381,38.3062,2.315743366141251
9,17,38.3175,38.3101,38.3397,38.3083,2.47351914660065
9,18,38.3175,38.3101,38.3413,38.3106,2.6468022687722694
9,19,38.3175,38.3101,38.3441,38.3125,2.9651881919624605
9,20,38.3175,38.3101,38.3468,38.3140,3.275726928966961
9,21,38.3175,38.3101,38.3513,38.3146,3.7788329306407746
9,22,38.3175,38.3101,38.3522,38.3167,3.9011755372908907
9,23,38.3175,38.3101,38.3525,38.3160,3.9257027128206827
10,0,38.3225,38.2948,38.2972,38.2961,2.8155212299418095
10,1,38.3225,38.2948,38.2986,38.2970,2.664485559052586
10,2,38.3225,38.2948,38.3009,38.2971,2.4101823418503976
10,3,38.3225,38.2948,38.3031,38.2959,2.159318402241045
10,4,38.3225,38.2948,38.3048,38.2944,1.9684623031878514
10,5,38.3225,38.2948,38.3087,38.2939,1.5364997318263185
10,6,38.3225,38.2948,38.3141,38.2953,0.9350566847039298
10,7,38.3225,38.2948,38.3095,38.2940,1.4472200330871672
10,8,38.3225,38.2948,38.3180,38.2957,0.5065003572399925
10,9,38.3225,38.2948,38.3175,38.3101,1.445922770149374
10,10,38.3225,38.2948,38.3225,38.2948,0.0
10,11,38.3225,38.2948,38.3243,38.2939,0.21499896036555965
10,12,38.3225,38.2948,38.3290,38.2945,0.7232416369698162
10,13,38.3225,38.2948,38.3316,38.2973,1.0351081961775837
10,14,38.3225,38.2948,38.3331,38.2994,1.2450964738190973
10,15,38.3225,38.2948,38.3354,38.3031,1.6067734929973292
10,16,38.3225,38.2948,38.3381,38.3062,1.9994474410159988
10,17,38.3225,38.2948,38.3397,38.3083,2.245994138374485
10,18,38.3225,38.2948,38.3413,38.3106,2.5038691419238575
10,19,38.3225,38.2948,38.3441,38.3125,2.8552029836805297
10,20,38.3225,38.2948,38.3468,38.3140,3.178913253076417
